ep1,econviol,emotvio,physvio,sexvio,sexphys,typevio,physcur,sexcur,emotcur,sexphcur,npsexvio,npsexviocur,npatmpsexvio,npatmpsexcur,nptouching,nptouchingcur,npsexabuse,npsexabusecur,w_religion,earlymarriage,justify,CONTROLLING,CONTROL,CONTROLNUM,anyIPV,diffage,sumdiffage,p_employ,EP3,ageyr5,ageyr10,EM,sQ601a,sQ601b,sQ601c,sQ601d,sQ601e,sQ601f,tQ602a,tQ602b,tQ602c,tQ602d,sQ607a,sQ607b,sQ607c,sQ607d,sQ607e,EP2,FCMAR,edresp,employstatus,SourceIncome,ETHNICITY,Fam_support,mcv1006,mcv1006a,mcv1006b,Q501R,agepartner,edpart,men_alcohol_all,mcv1008,mcv1009,Q513R,Q515R,Q516R,Q702,Q702R,eQ703a,eQ703b,eQ703c,eQ703d,eQ703e,eQ703f,eQ703g,eQ703h,country,weighing,rQ701a,rQ701b,rQ701c,rQ701d,HighIncome,Island,Governance,HDI,LAWDV,Governance1,HDI1,LAWDV1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,9,4,1,2,3,2,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,2,2,4,4,1,0,0,0,34,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.505973049019608,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3,1,1,7,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,3,1,1,1,1,1,52,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.280979463284314,0,0,0,0,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,2,3,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,4,4,1,1,0,0,1,28,2,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,.375422322009804,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,2,2,0,9,4,0,4,5,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,9,2,4,2,1,0,0,0,0,44,3,2,0,0,0,0,1,1,2,2,0,0,1,1,0,0,0,0,1,.552023424019608,0,0,0,0,0,0,.16,.654,37,0,0,0
1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,2,0,4,10,5,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,4,2,4,1,1,1,0,63,5,2,1,0,0,0,0,0,3,3,0,0,0,1,1,0,0,0,1,.262737387303922,0,0,1,0,0,0,.16,.654,37,0,0,0
1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,3,1,0,2,1,2,2,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,2,3,3,4,0,0,1,0,23,1,1,0,0,1,0,1,0,2,2,0,0,1,1,1,0,0,1,1,.490545381862745,1,1,1,1,0,0,.16,.654,37,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,6,3,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,4,4,1,0,0,0,44,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.353686652843137,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,0,5,3,1,2,7,4,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4,3,4,1,0,0,0,50,4,1,0,0,0,1,0,0,3,3,0,1,1,1,0,0,0,1,1,.187012498872549,1,1,1,1,0,0,.16,.654,37,0,0,0
1,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,-5,1,1,2,10,5,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,4,2,1,1,1,1,0,59,5,1,1,0,1,0,1,1,2,2,0,0,1,1,0,1,0,0,1,.715823445098039,0,0,0,1,0,0,.16,.654,37,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,3,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,5,6,1,0,0,0,18,1,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,.319414670686275,1,1,1,1,0,0,.16,.654,37,0,0,0
