,CONTROLNUM_0,CONTROLNUM_2,CONTROLNUM_3,Fam_support,Q513R,Q515R,Q702R_1,Q702R_3,ageyr10_1,earlymarriage_1,edpart_3,mcv1006,mcv1006a,mcv1006b,mcv1008,mcv1009,men_alcohol_all,sumdiffage_1
1384,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
740,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1042,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
956,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
497,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
565,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1348,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1181,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1158,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
517,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
744,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0
156,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
460,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0
899,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
448,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
1326,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
130,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
455,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
266,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
573,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
583,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
290,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
