,CONTROLNUM,Q702R,Q515R,Q513R,mcv1006,mcv1006a,mcv1006b,mcv1008,men_alcohol_all,mcv1009,earlymarriage,Fam_support,Q516R,edpart,rQ701d,rQ701b,rQ701a,sumdiffage,edresp,country,rQ701c,sQ601c,sQ601d,EP3,FCMAR,tQ602d,SourceIncome,ageyr10,justify,tQ602c
235,2,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,2,1,1,1,1,1,0,1,3,3,1,1
880,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,2,1,1,1,1,2,0,0,3,4,0,0
1271,1,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,3,1,1,0,1,1,2,0,1,3,4,0,0
738,1,2,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1,1,2,1,1,1,0,1,0,0,4,4,0,0
1013,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,3,2,1,1,0,1,2,0,0,4,2,0,0
1104,2,2,0,0,1,0,1,0,1,0,1,1,0,3,1,1,1,4,3,1,1,0,1,1,0,0,3,2,0,0
1263,3,1,1,0,0,0,0,0,0,0,9,1,1,2,1,1,1,4,2,1,1,1,1,4,9,0,1,2,0,0
810,2,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,2,2,1,0,1,1,1,0,0,3,3,0,0
7,3,3,0,0,0,1,1,0,0,0,1,1,0,3,0,1,0,1,1,1,1,1,1,4,1,1,2,5,0,0
114,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,3,3,1,1,1,1,1,0,0,2,3,0,0
1357,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,0,1,4,3,0,0
82,0,3,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,3,1,0,1,1,1,1,0,3,5,0,1
779,3,2,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,3,1,1,1,1,1,2,0,1,4,3,0,0
345,3,3,0,0,0,0,0,1,1,0,1,1,0,2,0,1,1,1,1,1,1,1,1,2,0,0,2,3,0,0
876,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,3,1,1,1,1,1,1,0,0,3,5,1,0
941,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,1,1,4,2,1,1,1,1,3,0,0,2,3,0,0
3,0,1,0,0,0,1,1,0,0,0,0,1,0,2,1,0,1,2,2,1,1,1,1,1,0,1,3,5,0,1
915,0,1,1,0,1,1,1,0,1,1,0,1,0,2,1,1,1,2,1,1,1,1,1,1,0,0,4,4,0,0
592,0,1,0,0,1,0,0,0,1,0,0,1,0,3,1,1,1,4,2,1,1,0,0,1,0,0,3,2,0,0
1194,1,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,4,2,1,1,1,1,1,0,0,3,4,0,0
231,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,3,1,1,1,1,1,2,0,0,4,4,0,0
1063,1,1,1,0,1,1,1,1,1,0,0,1,0,2,1,1,1,3,2,1,1,1,1,3,1,0,2,2,0,0
239,3,2,1,0,0,0,0,0,1,0,9,1,0,2,0,0,0,4,2,1,0,1,1,4,9,0,5,1,0,0
316,0,1,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,2,2,1,0,1,0,4,9,1,5,1,1,0
553,3,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,4,5,0,0
1093,3,2,0,0,1,1,1,0,1,1,1,1,0,2,1,1,1,4,2,1,1,1,1,3,0,1,4,2,0,0
180,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,1,1,4,2,1,1,1,0,2,0,0,4,1,0,1
549,3,3,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,2,1,1,0,1,1,4,0,0,2,3,0,0
588,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,2,1,1,1,0,1,0,0,4,1,0,0
1059,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,4,0,0,2,5,0,0
536,3,1,1,0,1,0,0,1,0,1,1,1,0,2,1,1,1,2,1,1,1,1,1,1,0,0,2,5,0,0
66,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,4,2,1,1,1,0,1,0,0,4,5,0,0
666,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,2,1,1,1,1,1,0,0,4,2,0,0
1186,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,2,5,1,1
359,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,2,2,1,1,1,1,2,0,0,4,1,0,0
292,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,3,2,1,1,1,1,2,0,0,5,4,0,0
500,2,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,1,1,0,1,1,2,0,0,4,1,0,0
1384,0,1,0,0,1,0,0,0,0,0,0,1,0,3,1,1,1,4,2,1,1,1,0,1,0,0,4,3,0,0
740,3,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,2,1,1,1,1,1,0,1,4,2,1,1
818,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,3,3,1,1,1,1,3,1,0,2,1,0,0
1042,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,1,3,1,1,0,0,1,0,0,3,5,0,0
956,0,2,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,4,2,1,1,1,1,1,0,1,4,2,0,0
497,3,2,1,0,0,0,1,0,0,0,9,1,0,2,1,1,1,2,3,1,1,1,1,4,9,1,5,1,0,0
565,1,1,0,0,0,0,0,1,0,0,0,1,0,2,1,1,1,3,3,1,1,1,1,1,0,0,2,2,0,0
1348,3,2,0,1,1,0,0,0,1,0,1,1,0,2,1,1,1,2,2,1,1,1,1,2,0,0,3,2,0,0
1181,3,1,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,1,2,1,0,0,0,1,0,0,4,4,1,0
1158,3,2,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,3,1,1,1,1,1,1,0,0,4,3,0,0
517,0,1,0,0,0,0,1,0,0,1,0,1,0,2,1,1,1,2,3,1,1,1,1,1,0,0,3,4,0,0
744,2,3,0,0,1,1,1,1,0,0,1,1,0,2,1,0,1,3,2,1,1,1,0,2,0,1,3,1,0,0
156,0,2,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,4,1,1,1,1,1,4,0,0,5,5,0,1
460,2,3,0,1,1,0,0,1,1,0,1,1,0,3,0,0,0,3,2,1,0,1,0,4,0,0,2,2,1,0
899,3,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,4,1,1,1,1,1,2,0,0,2,1,1,0
448,0,1,1,1,0,0,0,1,0,1,0,1,0,2,1,1,1,1,2,1,1,1,1,1,1,0,2,2,0,0
1326,1,1,0,0,1,0,0,0,0,0,1,1,0,2,1,1,1,3,2,1,1,0,0,1,0,0,4,2,0,0
130,2,1,0,0,0,1,0,0,0,1,0,1,0,2,1,1,1,3,2,1,1,1,1,2,0,0,4,1,1,0
455,3,3,0,0,0,1,1,0,0,0,1,0,0,2,1,1,1,3,1,1,1,1,1,1,0,0,4,5,0,0
266,0,1,1,0,0,0,0,0,1,0,0,1,0,2,1,1,1,4,2,1,1,1,1,2,0,0,4,2,1,0
573,2,1,0,0,1,0,1,0,0,0,1,1,0,2,1,1,1,2,2,1,1,1,1,4,1,1,5,5,1,1
583,3,2,0,0,1,1,0,0,0,0,0,1,0,2,1,1,1,4,2,1,1,1,1,1,0,1,4,2,0,0
290,0,2,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,2,2,1,1,1,1,3,1,0,2,1,0,0
800,3,1,0,0,1,1,1,0,1,1,1,1,0,2,0,1,1,3,2,1,1,1,1,2,0,1,4,1,0,1
91,3,3,1,1,0,0,0,0,1,0,0,1,1,2,0,0,0,2,2,1,0,0,0,4,0,0,2,5,0,0
587,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,1,1,0,1,1,2,0,0,4,5,0,0
699,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,3,1,1,1,1,3,1,0,5,1,0,0
414,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,2,1,1,0,0,1,0,0,3,2,0,0
1023,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,1,1,1,1,1,1,1,0,4,4,0,0
